REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
D:\Personal\Desktop\mos_data\mos_data\1_src.wav	 D:\Personal\Desktop\mos_data\mos_data\1_dst.wav	 -1.000	 2.010	 16000	wb
D:\Personal\Desktop\mos_data\mos_data\2_src.wav	 D:\Personal\Desktop\mos_data\mos_data\2_dst.wav	 -1.000	 3.074	 16000	wb
D:\Personal\Desktop\mos_data\16k\1_src.wav	 D:\Personal\Desktop\mos_data\16k\1_dst.wav	 -1.000	 1.628	 16000	wb
D:\Personal\Desktop\mos_data\16k\2_src.wav	 D:\Personal\Desktop\mos_data\16k\2_dst.wav	 -1.000	 3.054	 16000	wb
D:\Personal\Desktop\mos_data\16k\3_src.wav	 D:\Personal\Desktop\mos_data\16k\3_dst.wav	 -1.000	 2.837	 16000	wb
D:\Personal\Desktop\mos_data\16k\4_src.wav	 D:\Personal\Desktop\mos_data\16k\4_dst.wav	 -1.000	 3.358	 16000	wb
D:\Personal\Desktop\mos_data\16k\5_src.wav	 D:\Personal\Desktop\mos_data\16k\5_dst.wav	 -1.000	 3.371	 16000	wb
D:\Personal\Desktop\mos_data\16k\6_src.wav	 D:\Personal\Desktop\mos_data\16k\6_dst.wav	 -1.000	 3.291	 16000	wb
D:\Personal\Desktop\mos_data\16k\7_src.wav	 D:\Personal\Desktop\mos_data\16k\7_dst.wav	 -1.000	 2.741	 16000	wb
D:\Personal\Desktop\mos_data\16k\8_src.wav	 D:\Personal\Desktop\mos_data\16k\8_dst.wav	 -1.000	 3.004	 16000	wb
D:\Personal\Desktop\mos_data\16k\9_src.wav	 D:\Personal\Desktop\mos_data\16k\9_dst.wav	 -1.000	 2.764	 16000	wb
D:\Personal\Desktop\mos_data\16k\10_src.wav	 D:\Personal\Desktop\mos_data\16k\10_dst.wav	 -1.000	 3.519	 16000	wb
D:\Personal\Desktop\mos_data\16k\11_src.wav	 D:\Personal\Desktop\mos_data\16k\11_dst.wav	 -1.000	 3.192	 16000	wb
D:\Personal\Desktop\mos_data\16k\12_src.wav	 D:\Personal\Desktop\mos_data\16k\12_dst.wav	 -1.000	 2.929	 16000	wb
D:\Personal\Desktop\mos_data\16k\13_src.wav	 D:\Personal\Desktop\mos_data\16k\13_dst.wav	 -1.000	 2.652	 16000	wb
D:\Personal\Desktop\mos_data\16k\14_src.wav	 D:\Personal\Desktop\mos_data\16k\14_dst.wav	 -1.000	 2.737	 16000	wb
D:\Personal\Desktop\mos_data\16k\15_src.wav	 D:\Personal\Desktop\mos_data\16k\15_dst.wav	 -1.000	 2.751	 16000	wb
D:\Personal\Desktop\mos_data\16k\16_src.wav	 D:\Personal\Desktop\mos_data\16k\16_dst.wav	 -1.000	 3.718	 16000	wb
D:\Personal\Desktop\mos_data\16k\17_src.wav	 D:\Personal\Desktop\mos_data\16k\17_dst.wav	 -1.000	 3.407	 16000	wb
D:\Personal\Desktop\mos_data\16k\18_src.wav	 D:\Personal\Desktop\mos_data\16k\18_dst.wav	 -1.000	 3.509	 16000	wb
D:\Personal\Desktop\mos_data\16k\19_src.wav	 D:\Personal\Desktop\mos_data\16k\19_dst.wav	 -1.000	 3.626	 16000	wb
D:\Personal\Desktop\mos_data\16k\20_src.wav	 D:\Personal\Desktop\mos_data\16k\20_dst.wav	 -1.000	 2.576	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 2.384	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 2.366	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 2.462	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 4.417	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 2.147	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 2.479	 16000	wb
D:\Personal\Desktop\mos_data\opus\2_src.wav	 D:\Personal\Desktop\mos_data\opus\2_dst.wav	 -1.000	 2.106	 16000	wb
D:\Personal\Desktop\mos_data\opus\3_src.wav	 D:\Personal\Desktop\mos_data\opus\3_dst.wav	 -1.000	 2.149	 16000	wb
D:\Personal\Desktop\mos_data\opus\1_src.wav	 D:\Personal\Desktop\mos_data\opus\1_dst.wav	 -1.000	 2.128	 16000	wb
D:\Personal\Desktop\mos_data\opus\2_src.wav	 D:\Personal\Desktop\mos_data\opus\2_dst.wav	 -1.000	 2.479	 16000	wb
D:\Personal\Desktop\mos_data\opus\3_src.wav	 D:\Personal\Desktop\mos_data\opus\3_dst.wav	 -1.000	 2.114	 16000	wb
D:\Personal\Desktop\mos_data\opus\4_src.wav	 D:\Personal\Desktop\mos_data\opus\4_dst.wav	 -1.000	 1.908	 16000	wb
